?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0000105>	"FBdv:00007012"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"PdumDv:0000090"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"BILS:0000105"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"ZFS:0000000"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"MESH:D008018"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"WBls:0000002"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"ncithesaurus:Developmental_Stage"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"MmusDv:0000000"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"HsapDv:0000000"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"OlatDv:0000010"
<http://purl.obolibrary.org/obo/CL_0000255>	"MESH:D005057"
<http://purl.obolibrary.org/obo/GO_0006415>	"Reactome:R-HSA-72764"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"CARO:0000003"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"MA:0003000"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"AEO:0000003"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"FMA:67135"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"http://dbpedia.org/ontology/AnatomicalStructure"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"TAO:0000037"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"AAO:0010825"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"HAO:0000003"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"FMA:305751"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"ZFA:0000037"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"SCTID:362889002"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"EHDAA2:0003003"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"TGMA:0001823"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"XAO:0003000"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"BILA:0000003"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"VHOG:0001759"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"MESH:D000825"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"GAID:781"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"EMAPA:0"
<http://purl.obolibrary.org/obo/UBERON_0000061>	<http://www.snomedbrowser.com/Codes/Details/362889002>
<http://purl.obolibrary.org/obo/UBERON_0000061>	<http://dbpedia.org/ontology/AnatomicalStructure>
<http://purl.obolibrary.org/obo/UBERON_0000061>	"FBbt:00007001"
<http://purl.obolibrary.org/obo/GO_0005634>	"NIF_Subcellular:sao1702920020"
<http://purl.obolibrary.org/obo/GO_0005634>	"Wikipedia:Cell_nucleus"
<http://purl.obolibrary.org/obo/GO_0008152>	"Wikipedia:Metabolism"
<http://purl.obolibrary.org/obo/GO_0008152>	"Reactome:R-HSA-1430728"
<http://purl.obolibrary.org/obo/GO_0033554>	"Reactome:R-HSA-2262752"
<http://purl.obolibrary.org/obo/GO_0019222>	"Reactome:R-HSA-1989781"
<http://purl.obolibrary.org/obo/GO_0006281>	"Reactome:R-HSA-73894"
<http://purl.obolibrary.org/obo/GO_0006281>	"Wikipedia:DNA_repair"
<http://purl.obolibrary.org/obo/GO_0090734>	"Wikipedia:DNA_repair"
<http://purl.obolibrary.org/obo/GO_0043228>	"NIF_Subcellular:sao1456184038"
<http://purl.obolibrary.org/obo/GO_0090398>	"Reactome:R-HSA-2559583"
<http://purl.obolibrary.org/obo/GO_0005694>	"Wikipedia:Chromosome"
<http://purl.obolibrary.org/obo/NCBITaxon_10090>	"NCIt:C45247"
<http://purl.obolibrary.org/obo/NCBITaxon_10090>	"SNOMEDCT:447612001"
<http://purl.obolibrary.org/obo/NCBITaxon_10090>	"GC_ID:1"
<http://www.ebi.ac.uk/efo/EFO_0010946>	"https://orcid.org/0000-0002-3163-0115"
<http://www.ebi.ac.uk/efo/EFO_0010946>	"PMID:27668657"
<http://purl.obolibrary.org/obo/OBI_0000272>	"MO:214"
<http://purl.obolibrary.org/obo/OBI_0000272>	"SNOMEDCT:260686004"
<http://purl.obolibrary.org/obo/OBI_0000272>	"NCIt:C42651"
<http://www.ebi.ac.uk/efo/EFO_0001340>	"JAX:100010"
<http://www.ebi.ac.uk/efo/EFO_0000602>	"NIFSTD:birnlex_206"
<http://www.ebi.ac.uk/efo/EFO_0022419>	"TGEMO:00019"
<http://www.ebi.ac.uk/efo/EFO_0022419>	"MGI:2159849"
<http://www.ebi.ac.uk/efo/EFO_0001339>	"JAX:100007"
<http://www.ebi.ac.uk/efo/EFO_0001329>	"JAX:000659"
<http://www.ebi.ac.uk/efo/EFO_0000399>	"NCIt:C43531"
<http://www.ebi.ac.uk/efo/EFO_0000399>	"MO:878"
<http://www.ebi.ac.uk/efo/EFO_0007839>	"JAX:000926"
<http://www.ebi.ac.uk/efo/EFO_0001327>	"NIFSTD:birnlex_577"
<http://purl.obolibrary.org/obo/PO_0009012>	"TAIR:0000205"
<http://purl.obolibrary.org/obo/PO_0009012>	"PO_GIT:185"
