?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHEBI_33253>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleon"	
<http://purl.obolibrary.org/obo/CHEBI_24833>	<http://www.w3.org/2000/01/rdf-schema#label>	"oxoacid"	
<http://purl.obolibrary.org/obo/CHEBI_36343>	<http://www.w3.org/2000/01/rdf-schema#label>	"composite particle"	
<http://purl.obolibrary.org/obo/CHEBI_59740>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleophilic reagent"	
<http://purl.obolibrary.org/obo/CHEBI_52211>	<http://www.w3.org/2000/01/rdf-schema#label>	"physiological role"	
<http://purl.obolibrary.org/obo/CHEBI_50298>	<http://www.w3.org/2000/01/rdf-schema#label>	"canonical deoxyribonucleotide residue"	
<http://purl.obolibrary.org/obo/CHEBI_33304>	<http://www.w3.org/2000/01/rdf-schema#label>	"chalcogen molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_24432>	<http://www.w3.org/2000/01/rdf-schema#label>	"biological role"	
<http://purl.obolibrary.org/obo/CHEBI_33694>	<http://www.w3.org/2000/01/rdf-schema#label>	"biomacromolecule"	
<http://purl.obolibrary.org/obo/CHEBI_75787>	<http://www.w3.org/2000/01/rdf-schema#label>	"prokaryotic metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_50320>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleoside residue"	
<http://purl.obolibrary.org/obo/CHEBI_33675>	<http://www.w3.org/2000/01/rdf-schema#label>	"p-block molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_75772>	<http://www.w3.org/2000/01/rdf-schema#label>	"Saccharomyces cerevisiae metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_33791>	<http://www.w3.org/2000/01/rdf-schema#label>	"canonical nucleoside residue"	
<http://purl.obolibrary.org/obo/CHEBI_27207>	<http://www.w3.org/2000/01/rdf-schema#label>	"univalent carboacyl group"	
<http://purl.obolibrary.org/obo/CHEBI_77746>	<http://www.w3.org/2000/01/rdf-schema#label>	"human metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_33318>	<http://www.w3.org/2000/01/rdf-schema#label>	"main group element atom"	
<http://purl.obolibrary.org/obo/CHEBI_30217>	<http://www.w3.org/2000/01/rdf-schema#label>	"helium atom"	
<http://purl.obolibrary.org/obo/CHEBI_24834>	<http://www.w3.org/2000/01/rdf-schema#label>	"inorganic anion"	
<http://purl.obolibrary.org/obo/CHEBI_33559>	<http://www.w3.org/2000/01/rdf-schema#label>	"s-block element atom"	
<http://purl.obolibrary.org/obo/CHEBI_33259>	<http://www.w3.org/2000/01/rdf-schema#label>	"elemental molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_33680>	<http://www.w3.org/2000/01/rdf-schema#label>	"elemental helium"	
<http://purl.obolibrary.org/obo/CHEBI_228364>	<http://www.w3.org/2000/01/rdf-schema#label>	"NMR chemical shift reference compound"	
<http://purl.obolibrary.org/obo/CHEBI_76807>	<http://www.w3.org/2000/01/rdf-schema#label>	"EC 3.5.1.* (non-peptide linear amide C-N hydrolase) inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_24431>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemical entity"	
<http://purl.obolibrary.org/obo/CHEBI_25367>	<http://www.w3.org/2000/01/rdf-schema#label>	"molecule"	
<http://purl.obolibrary.org/obo/CHEBI_23924>	<http://www.w3.org/2000/01/rdf-schema#label>	"enzyme inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_51151>	<http://www.w3.org/2000/01/rdf-schema#label>	"dipolar compound"	
<http://purl.obolibrary.org/obo/CHEBI_37622>	<http://www.w3.org/2000/01/rdf-schema#label>	"carboxamide"	
<http://purl.obolibrary.org/obo/CHEBI_33247>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic group"	
<http://purl.obolibrary.org/obo/CHEBI_25585>	<http://www.w3.org/2000/01/rdf-schema#label>	"nonmetal atom"	
<http://purl.obolibrary.org/obo/CHEBI_35222>	<http://www.w3.org/2000/01/rdf-schema#label>	"inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_25699>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic ion"	
<http://purl.obolibrary.org/obo/CHEBI_50910>	<http://www.w3.org/2000/01/rdf-schema#label>	"neurotoxin"	
<http://purl.obolibrary.org/obo/CHEBI_33833>	<http://www.w3.org/2000/01/rdf-schema#label>	"heteroarene"	
<http://purl.obolibrary.org/obo/CHEBI_16134>	<http://www.w3.org/2000/01/rdf-schema#label>	"ammonia"	
<http://purl.obolibrary.org/obo/CHEBI_33558>	<http://www.w3.org/2000/01/rdf-schema#label>	"alpha-amino-acid anion"	
<http://purl.obolibrary.org/obo/CHEBI_25414>	<http://www.w3.org/2000/01/rdf-schema#label>	"monoatomic monocation"	
<http://purl.obolibrary.org/obo/CHEBI_51446>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic divalent group"	
<http://purl.obolibrary.org/obo/CHEBI_52206>	<http://www.w3.org/2000/01/rdf-schema#label>	"biochemical role"	
<http://purl.obolibrary.org/obo/CHEBI_36587>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic oxo compound"	
<http://purl.obolibrary.org/obo/CHEBI_24870>	<http://www.w3.org/2000/01/rdf-schema#label>	"ion"	
<http://purl.obolibrary.org/obo/CHEBI_33309>	<http://www.w3.org/2000/01/rdf-schema#label>	"noble gas atom"	
<http://purl.obolibrary.org/obo/CHEBI_36345>	<http://www.w3.org/2000/01/rdf-schema#label>	"meson"	
<http://purl.obolibrary.org/obo/CHEBI_76971>	<http://www.w3.org/2000/01/rdf-schema#label>	"Escherichia coli metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_61120>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleobase-containing molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_58942>	<http://www.w3.org/2000/01/rdf-schema#label>	"cationic amino-acid residue"	
<http://purl.obolibrary.org/obo/CHEBI_38101>	<http://www.w3.org/2000/01/rdf-schema#label>	"organonitrogen heterocyclic compound"	
<http://purl.obolibrary.org/obo/CHEBI_37176>	<http://www.w3.org/2000/01/rdf-schema#label>	"mononuclear parent hydride"	
<http://purl.obolibrary.org/obo/CHEBI_33306>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbon group element atom"	
<http://purl.obolibrary.org/obo/CHEBI_33710>	<http://www.w3.org/2000/01/rdf-schema#label>	"alpha-amino-acid residue"	
<http://purl.obolibrary.org/obo/CHEBI_10545>	<http://www.w3.org/2000/01/rdf-schema#label>	"electron"	
<http://purl.obolibrary.org/obo/CHEBI_50312>	<http://www.w3.org/2000/01/rdf-schema#label>	"onium compound"	
<http://purl.obolibrary.org/obo/CHEBI_33246>	<http://www.w3.org/2000/01/rdf-schema#label>	"inorganic group"	
<http://purl.obolibrary.org/obo/CHEBI_16991>	<http://www.w3.org/2000/01/rdf-schema#label>	"deoxyribonucleic acid"	
<http://purl.obolibrary.org/obo/CHEBI_33708>	<http://www.w3.org/2000/01/rdf-schema#label>	"amino-acid residue"	
<http://purl.obolibrary.org/obo/CHEBI_33273>	<http://www.w3.org/2000/01/rdf-schema#label>	"polyatomic anion"	
<http://purl.obolibrary.org/obo/CHEBI_24651>	<http://www.w3.org/2000/01/rdf-schema#label>	"hydroxides"	
<http://purl.obolibrary.org/obo/CHEBI_36338>	<http://www.w3.org/2000/01/rdf-schema#label>	"lepton"	
<http://purl.obolibrary.org/obo/GO_0030397>	<http://www.w3.org/2000/01/rdf-schema#label>	"membrane disassembly"	
<http://purl.obolibrary.org/obo/PATO_0002198>	<http://www.w3.org/2000/01/rdf-schema#label>	"quality of a substance"	
